t,V10,V47k,V94k,V220k,V672k
-0.0000231,0.0024,0.0056,-0.0036,-0.0032,0.0108
-0.00002308,0.0008,-0.0016,-0.0004,-0.0036,0.0068
-0.00002306,0.0072,0.0016,0.0032,-0.004,0.006
-0.00002304,0.0044,-0.0068,0.0036,0.0024,-0.0028
-0.00002302,0.0028,-0.002,0.0032,0.0024,-0.0064
-0.000023,0,-0.0072,0.0044,0.004,-0.0092
-0.00002298,-0.0028,0.0008,0.0028,-0.002,-0.0072
-0.00002296,-0.0036,0.0028,0.004,-0.0052,-0.008
-0.00002294,-0.0064,0.0092,-0.0024,-0.0088,-0.004
-0.00002292,-0.0072,0.0088,-0.0012,-0.0068,-0.0048
-0.0000229,-0.0064,0.008,-0.004,-0.0052,-0.0056
-0.00002288,-0.0036,0.0044,0,-0.0032,-0.0048
-0.00002286,0.0036,0.0036,-0.0028,0.0012,-0.0056
-0.00002284,0.006,-0.0016,-0.0016,0.008,-0.004
-0.00002282,0.0072,0.0004,-0.0028,0.0076,-0.002
-0.0000228,0.0024,-0.0048,-0.0008,0.0076,0
-0.00002278,0.0016,0.002,-0.0012,0.0012,0.0052
-0.00002276,-0.0048,-0.0028,0.0004,-0.0016,0.0024
-0.00002274,-0.0096,-0.0008,0.0008,-0.0052,0.0024
-0.00002272,-0.01,-0.0056,0.0008,-0.0068,-0.0044
-0.0000227,-0.0108,-0.0036,0.0044,-0.0064,-0.0036
-0.00002268,-0.006,-0.0064,0.0024,-0.006,-0.0064
-0.00002266,-0.0024,-0.0024,0.0036,0,-0.0096
-0.00002264,0.0036,-0.0052,0.0008,0.0048,-0.0068
-0.00002262,0.002,0.0008,-0.002,0.0056,-0.006
-0.0000226,0.0024,0.0004,-0.0036,0.0072,0.0008
-0.00002258,0.0064,0.01,-0.0068,0.0048,0.0044
-0.00002256,0.0004,0.0064,-0.0072,0.0076,0.006
-0.00002254,-0.0008,0.0092,-0.0108,0.0056,0.0048
-0.00002252,-0.006,0.0016,-0.0048,0.002,0.0036
-0.0000225,-0.002,-0.002,-0.0008,0.0052,0.0028
-0.00002248,-0.002,-0.0068,0.0088,-0.0028,0.0028
-0.00002246,0.0028,-0.0132,0.0076,0.0076,0.002
-0.00002244,0.0028,-0.012,0.01,-0.0024,-0.0008
